game_id,club_id,own_goals,own_position,own_manager_name,opponent_id,opponent_goals,opponent_position,opponent_manager_name,hosting,is_win
3219418,1132,1,14,Sean Dyche,1237,1,16,Graham Potter,Away,0
3219430,762,1,18,Steve Bruce,1123,3,11,Daniel Farke,Away,0
3221097,2832,1,9,Marius Sumudica,2381,1,7,Riza Calimbay,Away,0
3221723,7130,1,,Andrey Semin,4391,4,,Branko Brnovic,Away,0
3222663,6335,1,,Darren Abdilla,279,3,,Sergiy Rebrov,Away,0
3222961,1033,0,,Ólafur Jóhannesson,31614,4,,Stoycho Stoev,Away,0
3222964,4313,0,,Heimir Gudjónsson,3471,1,,David Healy,Away,0
3222967,10482,0,,Aleksey Shpilevski,2976,2,,Barak Bakhar,Away,0
3223030,3258,1,,Stephen Bradley,429,3,,Sofronios Avgousti,Away,0
3223034,543,4,,Nuno Espírito Santo,21532,1,,Stephen Baxter,Away,1
3223085,2293,1,10,Aykut Kocaman,36,5,2,Ersun Yanal,Away,0
3223087,141,0,7,Fatih Terim,114,1,9,Abdullah Avci,Away,0
3223100,19789,2,3,Sergen Yalcin,10484,2,11,Kemal Özdes,Away,0
3223104,141,2,6,Fatih Terim,2832,0,9,Marius Sumudica,Away,1
3223156,11282,5,6,Erol Bulut,833,1,11,Mehmet Özdilek,Away,1
3223178,11282,2,5,Erol Bulut,10484,1,16,Erkan Coker,Away,1
3223197,449,2,1,Hüseyin Cimsir,820,0,13,Hamza Hamzaoglu,Away,1
3223200,141,3,4,Fatih Terim,10484,0,17,Fuat Capa,Away,1
3223244,2832,0,9,Marius Sumudica,11282,1,6,Erol Bulut,Away,0
3223277,820,0,13,Hamza Hamzaoglu,19789,0,17,Hikmet Karaman,Away,0
3223285,141,1,5,Fatih Terim,11282,4,6,Erol Bulut,Away,0
3223297,6890,3,1,Okan Buruk,2293,4,14,Bülent Korkmaz,Away,0
3223304,589,1,8,Tamer Tuna,868,0,18,Ibrahim Üzülmez,Away,1
3223306,36,0,7,Tahir Karapinar,114,2,4,Sergen Yalcin,Away,0
3223313,868,1,17,Ibrahim Üzülmez,833,0,14,Levent Kartop,Away,1
3223314,11282,3,5,Erol Bulut,2293,2,13,Bülent Korkmaz,Away,1
3224791,25495,3,,Anders Flaskager,20973,5,,Ole Juel,Away,0
3224808,1063,2,,Jacob Neestrup,20108,1,,Bo Zinck,Away,1
3224812,5892,1,,Ulrik Balling,13183,0,,Peter Juul Petersen,Away,1
3224813,49675,5,,,67609,0,,,Away,1
3224817,22112,2,,Hans Henrik Andreasen,20975,1,,René Lindharth,Away,1
3224827,1842,7,,,75633,1,,,Away,1
3226482,48332,1,3,Ruslan Kostyshyn,23611,0,11,Júlio César,Away,1
3226496,660,2,1,Luís Castro,18105,0,11,Bogdan Blavatskyi,Away,1
3227383,3243,4,,Mikhail Belov,55015,0,,Ivan Bolkisev,Away,1
3227387,3834,1,,Igor Zakharyak,71985,3,,Dmitriy Emeljanov,Away,0
3229013,3325,6,,José Mota,982,5,,Luís Freire,Away,1
3229014,1301,2,,Nuno Manta Santos,3345,1,,Carlos Pinto,Away,1
3229070,18303,1,5,Volodymyr Sharan,2740,0,7,Vitaliy Kosovskyi,Away,1
3229103,2655,2,,Domenico Di Carlo,1386,3,,Domenico Toscano,Away,0
3229209,410,0,18,Igor Tudor,276,0,15,Ivan Juric,Away,0
3229246,410,1,13,Igor Tudor,800,7,3,Gian Piero Gasperini,Away,0
3229276,416,4,13,Walter Mazzarri,19,0,20,Fabio Grosso,Away,1
3229290,6195,1,7,Carlo Ancelotti,5,1,14,Stefano Pioli,Away,0
3229291,19,0,20,Fabio Grosso,12,3,5,Paulo Fonseca,Away,0
3229312,1390,2,4,Rolando Maran,6574,2,11,Roberto De Zerbi,Away,0
3229354,1025,0,13,Siniša Mihajlović,416,1,8,Walter Mazzarri,Away,0
3229359,46,1,2,Antonio Conte,1005,1,17,Fabio Liverani,Away,0
3229362,1038,1,16,Claudio Ranieri,398,5,3,Simone Inzaghi,Away,0
3229408,398,3,2,Simone Inzaghi,252,2,18,Davide Nicola,Away,1
3229425,416,1,15,Moreno Longo,6195,2,6,Gennaro Gattuso,Away,0
3229455,410,2,15,Luca Gotti,12,0,5,Paulo Fonseca,Away,1
3229474,6574,2,8,Roberto De Zerbi,1025,1,10,Siniša Mihajlović,Away,1
3229478,276,1,9,Ivan Juric,430,1,13,Giuseppe Iachini,Away,0
3229487,1390,0,11,Walter Zenga,1038,3,14,Claudio Ranieri,Away,0
3229513,5,2,6,Stefano Pioli,6574,1,8,Roberto De Zerbi,Away,1
3229518,46,3,2,Antonio Conte,252,0,17,Davide Nicola,Away,1
3229520,1005,2,18,Fabio Liverani,1025,3,10,Siniša Mihajlović,Away,0
3229530,506,0,1,Maurizio Sarri,1390,2,13,Walter Zenga,Away,0
3232158,8449,2,,Ger Demin,10804,3,,Eric Speelziek,Away,0
3232973,543,4,,Nuno Espírito Santo,10301,0,,Aleksandr Tarkhanov,Away,1
3232989,1090,0,,Arne Slot,6993,0,,Oleksandr Babych,Away,0
3233014,2844,1,,Jens Gustafsson,2976,3,,Barak Bakhar,Away,0
3234722,59524,3,,Vasiliy Rozhnov,54924,2,,Vladimir Kazakov,Away,1
3237627,195,3,,Eirik Horneland,790,1,,Darko Milanic,Away,1
3237628,790,1,,Darko Milanic,195,3,,Eirik Horneland,Away,0
3237855,58,0,14,Vincent Kompany,1184,1,6,Felice Mazzù,Away,0
3237858,3508,0,10,Francky Dury,475,0,12,Marc Brys,Away,0
